,[run number],sidewalk_width,pedestrian_flow,disabled-proportion,bus_stop_type,second,average_speed,density,mean_delay,mean_delay_disabled,mean_delay_non_disabled,total_conflict_incidents,mean_conflict_disabled,mean_conflict_non_disabled
35,40,4,500,0.05,backing building,180,0.773395665,0.058333333,1.141361251,0.91195028,1.174134247,105,4.333333333,4.380952381
36,38,4,500,0.05,backing building,180,0.7263875129999999,0.05,2.382334776,3.529249311,2.297378144,178,10.0,5.851851852
37,39,4,500,0.05,backing building,180,0.441691336,0.075,3.230747167,1.948273383,3.401743672,265,9.75,7.533333333
38,36,4,500,0.05,backing building,180,0.37202085700000004,0.133333333,7.614020781000001,5.176122414,8.331049712,176,9.2,7.647058824
39,37,4,500,0.05,backing building,180,0.45144976299999995,0.15833333300000002,12.20859173,14.80083873,11.50161528,360,15.0,12.27272727
40,3,4,1000,0.05,bus flag,180,0.7434797670000001,0.091666667,2.119902304,2.400798161,2.057481002,366,10.125,7.916666667
41,6,4,1000,0.05,bus flag,180,0.413550349,0.15833333300000002,4.156100336000001,3.635811385,4.23614479,430,11.66666667,9.230769231
42,7,4,1000,0.05,bus flag,180,0.664736287,0.15,5.098051129,7.054942003,4.837132346000001,610,17.66666667,11.2
43,8,4,1000,0.05,bus flag,180,0.57538357,0.21666666699999998,5.071590543,7.091321627999999,4.847175978,584,13.8,11.44444444
44,2,4,1000,0.05,bus flag,180,0.43849124799999994,0.15833333300000002,7.383016585,4.330966185,7.774305097999999,469,12.4,10.43589744
45,4,4,1000,0.05,bus flag,180,0.7423253679999999,0.241666667,5.4341641439999995,3.686714486,5.8480338,566,13.44444444,11.71052632
46,1,4,1000,0.05,bus flag,180,0.419041056,0.19166666699999999,2.616451569,1.707799237,2.775465727,433,11.28571429,8.85
47,10,4,1000,0.05,bus flag,180,0.40676651700000005,0.166666667,4.530768376,11.791111599999999,3.157189929,422,14.85714286,8.594594595
48,9,4,1000,0.05,bus flag,180,0.617767548,0.241666667,11.39740302,5.177001981,12.51388526,647,14.85714286,13.92307692
49,5,4,1000,0.05,bus flag,180,0.21814672699999998,0.308333333,10.84584501,10.24833766,10.90559575,397,14.66666667,11.76666667
50,17,4,1000,0.05,backing road,180,0.525343419,0.15,8.33619315,9.126553216,8.237398141,595,14.4,13.075
51,18,4,1000,0.05,backing road,180,0.277639756,0.3,5.651315792999999,4.653145205,5.850949911,277,8.2,9.44
52,20,4,1000,0.05,backing road,180,0.472441874,0.2,7.389206362,3.309988203,7.624545872000001,766,14.66666667,13.88461538
53,13,4,1000,0.05,backing road,180,0.195360368,0.525,3.8937981980000003,5.547890146,3.5393499239999997,157,15.33333333,7.928571429
54,11,4,1000,0.05,backing road,180,0.185385517,0.5,7.162859891,15.38985915,6.575217086,205,42.0,11.64285714
55,14,4,1000,0.05,backing road,180,0.197019986,0.46666666700000003,19.90123543,20.77103159,19.43734415,447,28.875,14.4
56,16,4,1000,0.05,backing road,180,0.21196813899999997,0.441666667,10.57987271,7.725186279,11.21424748,362,23.75,14.83333333
57,23,4,1000,0.05,backing footway,180,0.304500134,0.308333333,8.569133295,5.342902415,8.908736546,518,16.0,11.94736842
58,22,4,1000,0.05,backing footway,180,0.303139008,0.275,10.38532515,12.35526042,9.848070071,483,15.66666667,10.36363636
59,15,4,1000,0.05,backing road,180,0.146586152,0.46666666700000003,5.173497463,7.141524782,3.992681072,77,17.33333333,5.0
60,26,4,1000,0.05,backing footway,180,0.43299883200000006,0.18333333300000001,7.954680811,8.219246325,7.893153947999999,628,13.1,11.55813953
61,28,4,1000,0.05,backing footway,180,0.41331499,0.175,4.624023721,2.548347095,4.943358587,375,9.333333332999999,8.179487179
62,12,4,1000,0.05,backing road,180,0.19242527899999998,0.6,32.85418443,9.241467773,40.72508998,226,25.33333333,16.66666667
63,24,4,1000,0.05,backing footway,180,0.186119397,0.46666666700000003,6.155578748,4.301475022,6.773613322999999,167,8.4,8.333333332999999
64,32,4,1000,0.05,backing building,180,0.376856267,0.166666667,4.656931072,3.987276238,4.742418923,676,17.83333333,12.10638298
